english_name,iso3,cv_code,espeak_code,lineage,family_0,family_1,family_2
Armenian,hye,hy-AM,hy-west,"['Indo-European', 'Classical Indo-European', 'Armenic', 'Eastern-Western Armenian', 'Eastern Armenian']",Indo-European,Classical Indo-European,Armenic
Indonesian,ind,id,id,"['Austronesian', 'Malayo-Polynesian', 'Malayo-Chamic', 'Malayic', 'Nuclear Malayic', 'Standard Malay-Indonesian', 'Standard Indonesian']",Austronesian,Malayo-Polynesian,Malayo-Chamic
Icelandic,isl,is,is,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'North Germanic', 'West Scandinavian', 'Icelandic-Faroese', 'Icelandic']",Indo-European,Germanic,West Scandinavian
Italian,ita,it,it,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Italo-Dalmatian', 'Italian Romance', 'Italian']",Indo-European,Latino-Faliscan,Romance
Georgian,kat,ka,ka,"['Kartvelian', 'Karto-Zan', 'Georgic', 'Georgian']",Kartvelian,Karto-Zan,Georgic
Latvian,lav,lv,lv,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Eastern Baltic', 'Latvian']",Indo-European,Balto-Slavic,Eastern Baltic
Lithuanian,lit,lt,lt,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Eastern Baltic', 'Lithuanian']",Indo-European,Balto-Slavic,Eastern Baltic
Malayalam,mal,ml,ml,"['Dravidian', 'South Dravidian', 'South Dravidian I', 'Tamil-Kannada', 'Tamil-Kota', 'Tamil-Toda', 'Tamil-Irula', 'Tamil-Kodagu', 'Tamil-Malayalam', 'Malayalamoid', 'Malayalam']",Dravidian,South Dravidian,Tamil-Kannada
Macedonian,mkd,mk,mk,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Macedo-Bulgarian', 'Macedonian']",Indo-European,Balto-Slavic,South Slavic
Nepali,nep,ne-NP,ne,"['Indo-European', 'Classical Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Middle-Modern Indo-Aryan', 'Continental Indo-Aryan', 'Midlands Indo-Aryan', 'Indo-Aryan Northern zone', 'Eastern Pahari']",Indo-European,Indo-Iranian,Eastern Pahari
Dutch,nld,nl,nl,"['Indo-European', 'Classical Indo-European', 'Germanic', 'Northwest Germanic', 'West Germanic', 'Macro-Dutch', 'Middle-Modern Dutch', 'Modern Dutch', 'Global Dutch', 'Dutch']",Indo-European,Germanic,West Germanic
Punjabi,pan,pa-IN,pa,"['Indo-European', 'Classical Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Middle-Modern Indo-Aryan', 'Continental Indo-Aryan', 'Indo-Aryan Northwestern zone', 'Sindhi-Lahnda', 'Greater Panjabic', 'Eastern Panjabic', 'Eastern Panjabi']",Indo-European,Indo-Iranian,Sindhi-Lahnda
Polish,pol,pl,pl,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Lechitic', 'Polish-Silesian', 'Polish']",Indo-European,Balto-Slavic,Lechitic
Portuguese,por,pt,pt-br,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Southwestern Shifted Romance', 'West Ibero-Romance', 'Galician Romance', 'Macro-Portuguese', 'Brazil-Portugal Portuguese', 'Portuguese']",Indo-European,Latino-Faliscan,Romance
Portuguese,por,pt,pt-pt,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Southwestern Shifted Romance', 'West Ibero-Romance', 'Galician Romance', 'Macro-Portuguese', 'Brazil-Portugal Portuguese', 'Portuguese']",Indo-European,Latino-Faliscan,Romance
Romanian,ron,ro,ro,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Eastern Romance', 'Northern Romanian', 'Eastern Romanian', 'Romanian']",Indo-European,Latino-Faliscan,Romance
Russian,rus,ru,ru,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'East Slavic', 'Russian']",Indo-European,Balto-Slavic,East Slavic
Slovak,slk,sk,sk,"['Indo-European', 'Classical Indo-European', 'Balto-Slavic', 'Slavic', 'West Slavic', 'Czech-Slovak', 'Slovak']",Indo-European,Balto-Slavic,West Slavic
Spanish,spa,es,es,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Southwestern Shifted Romance', 'West Ibero-Romance', 'Castilic', 'Spanish']",Indo-European,Latino-Faliscan,Romance
Spanish,spa,es,es-la,"['Indo-European', 'Classical Indo-European', 'Italic', 'Latino-Faliscan', 'Latinic', 'Imperial Latin', 'Romance', 'Italo-Western Romance', 'Western Romance', 'Shifted Western Romance', 'Southwestern Shifted Romance', 'West Ibero-Romance', 'Castilic', 'Spanish']",Indo-European,Latino-Faliscan,Romance
Albanian,sqi,sq,sq,"['Indo-European', 'Classical Indo-European', 'Albanian']",Indo-European,Classical Indo-European,Albanoid
